,lyric,famous_word,total_words,percent_originality,genre
0,tô estressada fica gracinha ontem meia noite arrumou desculpinha então ta amor hoje tô revoltada vou pro cabaré junto mulherada vou dormir lá baixo casa macho pode ter certeza lá acho vou dormir lá baixo casa machos pode ter certeza lá acho verdadeiro cabaré curtição casa macho encontrei patrão vou dormir lá baixo casa macho pode ter certeza lá acho vou dormir lá baixo casa macho pode ter certeza lá acho to estressada fica gracinha ontem meia noite arrumou desculpinha então ta amor hoje to revoltada vou pro cabaré junto mulherada vou dormir lá baixo casa machos pode ter certeza lá acho vou dormir lá baixo casa machos pode ter certeza lá acho verdadeiro cabaré curtição casa macho encontrei patrão vou dormir lá baixo casa machos pode ter certeza lá acho vou dormir lá baixo casa machos pode ter certeza lá acho,lá,142,23.94,funk
1,explanou microfone queria transar bebeu demais falou pensar amiga disso mina família embalou ritmo ritmo putaria liga pra samu liga pra samu quis transar três deu hemorragia cu atrás avisei ver embora três dj anunciou to preocupada mina tá treta desmaiada liga pra samu liga pra samu quis transar três deu hemorragia cu explanou microfone queria transar bebeu demais falou pensar amiga disso mina família embalou ritmo ritmo putaria liga pra samu liga pra samu quis transar três deu hemorragia cu atrás avisei ver embora três dj anunciou to preocupada mina tá treta desmaiada liga pra samu liga pra samu quis transar três deu hemorragia cu,liga,106,32.08,funk
2,festa escola tudo começou olhei olhou pois ainda entendo porque deixou volte pra mim amor mostra amor rapaziada dj tiro cabeça gata gente conversava lá praça dia passando toquei apaixonei amor aumentando cada momento fiquei pensando logo casamento amor deixou assim peço favor volte pra mim amor deixou assim peço favor volte pra mim moro estrada posse digo mundo amo moro estrada posse amor lindo quero amor quero sempre estar lado fazer carinho ser namorado casa fico pensando onde deve estar andando todo mundo nesta vida paixão conquistou coração amor deixou assim peço favor volte pra mim amor deixou assim peço favor volte pra mim moro estrada posse digo mundo amo moro estrada posse amor lindo quero ainda acredito terminou bom enquanto durou pessoas gostam traição fica apenas concentrada naquela paixão cantei agora realidade amor tornou amizade amor deixou assim peço favor volte pra mim amor deixou assim peço favor volte pra mim moro estrada posse digo mundo amo moro estrada posse amor lindo quero,amor,165,49.7,funk
3,cinco mentes bem pensantes bem carentes nada hoje risada hoje green surgiu papo m motiva criançada lá quebrada pra ser feliz bate taças estoura champanhe longe caminhada nessa estrada pra ser feliz foco nunca money brotou tipo nada rosas prata ouro espinho antigamente nóis sofria ninguém acreditava dava nada pra daí hoje curtição manhã madrugada prepara malas pro hawaii,nada,59,84.75,funk
4,fato tô evidência hoje quer encostar fase vaca magra lembro antigamente tava lá hoje fala ama pulou bala finjo acredito tô ciente rodou quebrada mano dinheiro perdeu postura dizia sujeito homem quis arrastar nada virou puta balde prateado royal salu camarote cardume piranha louca bala love rebolando cu sei tá comigo sei bem trama balde prateado royal salu camarote cardume piranha louca bala love rebolando sei tá comigo sei bem trama fato tô evidência hoje quer encostar fase vaca magra lembro antigamente tava lá hoje fala ama pulou bala finjo acredito tô ciente rodou quebrada mano dinheiro perdeu postura dizia sujeito homem quis arrastar nada virou puta balde prateado royal salu camarote cardume piranha louca bala love rebolando sei tá comigo sei bem trama balde prateado royal salu camarote cardume piranha louca bala love rebolando cu sei tá comigo sei bem trama,sei,142,35.21,funk
5,deixa pensar grana deixa falar vida bacana mal sabe sofredor moro aonde lama luz lua juras amor tá fácil dizer ama deixa pensar grana deixa falar vida bacana mal sabe sofredor moro aonde lama luz noite juras amor tá fácil dizer ama moleque onde chega agita humildade virou cartão visita quer conhecer após disso virar fã mjoão original segue lá instagram vezes roupa falsa sempre verdadeiro coração nobre sangue guerreiro desculpe falso foda verdadeiro peço licença sempre chegou primeiro deixa pensar grana deixa falar vida bacana mal sabe sofredor moro aonde lama luz noite juras amor tá fácil dizer ama deixa pensar grana deixa falar vida bacana mal sabe sofredor moro aonde lama luz lua juras amor tá fácil dizer ama moleque onde chega agita humildade virou cartão visita quer conhecer logo após virar fã mhariel original segue lá instagram vezes roupa falsa sempre verdadeiro coração nobre sangue guerreiro desculpe falso foda verdadeiro peço licença sempre chegou primeiro deixa pensar grana deixa falar vida bacana mal sabe sofredor moro aonde lama luz lua juras amor tá fácil dizer ama deixa pensar grana deixa falar vida bacana mal sabe sofredor moro aonde lama luz noite juras amor tá fácil dizer ama,deixa,200,29.0,funk
6,ah mãe veio brigar mãe veio brigar disse engravidou vou ter criar mãe veio brigar disse engravidou vou ter criar querer querendo querer querendo metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro mãe veio brigar disse engravidou vou ter criar metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro mãe veio brigar mãe veio brigar disse engravidou mãe veio brigar mãe veio brigar disse engravidou querer querendo querer querendo metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro mãe veio brigar disse engravidou vou ter criar metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro metendo metendo acabei gozando dentro,metendo,130,11.54,funk
7,namorado mó otário lava calcinha fica cheio marra mando pra cozinha tá gostando então dorme portão porque vou pro baile vou pra curtição aca aca aca aca acaba vai vai vai aca aca aca aca acaba vai vai vai,aca,39,61.54,funk
8,hoje vim poder falar poder contar passou falar coisas ficou guardado deixei lado amor coração pois entreguei pois beijei apaixonei hoje tempo passou pude perceber errei igual sei dou nota hoje lembro ti ainda sonho dia vc vem .... carinhos verdadeiros pouco fácil fascino hoje ainda sinto saudade daquele olhar amor ainda lembro daquele sorriso tão bonito acabou hoje procuro alguém esquecer amor .... igual sei dou nota hoje lembro ti ainda sonho dia vc vem .... simples toque segundo juntos pra valer então primeira vez pude conhecer prazer noite linda amor luz luar vc pois parecia sonhando dois amando amanhecer .... igual sei dou nota hoje lembro ti ainda sonho dia vc vem .... ainda lembro primeira vez abracei beijei tão gostosa sensação mexeu coração flutuei coração acelerando gaguejando fé falei baixo ouvido mulher .... igual sei dou nota hoje lembro ti ainda sonho dia vc vem ....,hoje,149,54.36,funk
9,pique alemanha mano maneirinho falou tá pique alemanha malandra malandra deixa louca deixa entrar onda quer whisky malandra quer vip malandra pode vir maneirinho moleque banca quer whisky malandra quer vip malandra pode vir maneirinho moleque banca malandra malandra deixa louca deixa entrar onda ai daquele jeito jeito gosta quer envolver envolve vai fazer fofoca mmaneirinho louco bem bacana avisa pra ta pique alemanha malandra malandra deixa louca deixa entrar onda,malandra,71,47.89,funk
